,YEARMONTH,MONTH,TOTAL,AGRICULTURA,INDUSTRIA,CONSTRUCCIÓN,SERVICIOS,SIN EMPLEO ANT.
2001,200101,ENERO,2017389,58026,306951,213724,1160408,278280
,200102,FEBRERO,1993273,52398,304495,204864,1149127,282390
,200103,MARZO,1981006,54371,301462,200322,1142694,282157
,200104,ABRIL,1910453,60783,291659,197186,1089145,271680
,200105,MAYO,1898285,61440,292407,195424,1078904,270111
,200106,JUNIO,1842556,52975,286325,184934,1048308,270014
,200107,JULIO,1835738,51121,286068,188901,1049036,260611
,200108,AGOSTO,1878513,51253,301462,206435,1064101,255262
,200109,SEPTIEMBRE,1889185,49946,295362,195811,1081971,266095
,200110,OCTUBRE,1940910,50186,298139,195536,1123316,273732
,200111,NOVIEMBRE,1985857,51706,302292,197751,1157549,276560
,200112,DICIEMBRE,1988716,49504,313367,217276,1143111,265457
,,,,,,,,
2002,200201,ENERO,2075022,52561,318996,220307,1215120,268037
,200202,FEBRERO,2149907,63331,324617,217320,1270081,274558
,200203,MARZO,2083103,56026,319544,219315,1212807,275411
,200204,ABRIL,2060069,56035,314470,215526,1197607,276432
,200205,MAYO,2002923,54162,307861,210832,1155898,274170
,200206,JUNIO,1962963,54574,298395,203899,1126867,279227
,200207,JULIO,1961852,53561,300317,207464,1133244,267266
,200208,AGOSTO,1983982,52570,311964,220444,1141459,257545
,200209,SEPTIEMBRE,2006785,52883,306896,213656,1164649,268702
,200210,OCTUBRE,2064513,54038,309560,213751,1209532,277631
,200211,NOVIEMBRE,2117144,54709,311453,218360,1250686,281936
,200212,DICIEMBRE,2127018,51019,323929,250438,1232384,269248
,,,,,,,,
2003,200301,ENERO,2185156,51108,325603,243359,1292332,272755
,200302,FEBRERO,2180216,53365,323756,234721,1289984,278389
,200303,MARZO,2163499,53737,321413,230846,1273947,283556
,200304,ABRIL,2104474,52403,319234,228879,1225987,277973
,200305,MAYO,2035601,50064,309554,220292,1183174,272518
,200306,JUNIO,2020367,49781,302400,218054,1172001,278132
,200307,JULIO,1995964,48998,298287,219878,1164615,264186
,200308,AGOSTO,2016675,47458,308079,233591,1172710,254836
,200309,SEPTIEMBRE,2039630,46925,305189,226161,1196038,265317
,200310,OCTUBRE,2096606,47951,306421,226096,1245058,271080
,200311,NOVIEMBRE,2143206,49942,307289,229452,1282788,273736
,200312,DICIEMBRE,2181248,50315,320654,267863,1279620,262796
,,,,,,,,
2004,200401,ENERO,2232560,51101,321072,252539,1341324,266523
,200402,FEBRERO,2219300,52928,316488,243842,1337215,268827
,200403,MARZO,2181546,53728,311605,238840,1306377,270996
,200404,ABRIL,2162406,53603,311163,239122,1287909,270608
,200405,MAYO,2090702,52526,302784,232392,1241869,261130
,200406,JUNIO,2054113,52237,294905,224553,1218365,264053
,200407,JULIO,2014218,51081,289929,224715,1198286,250207
,200408,AGOSTO,2049639,50020,302045,241350,1213574,242649
,200409,SEPTIEMBRE,2050513,49180,296428,230064,1224165,250676
,200410,OCTUBRE,2075812,49669,295318,228025,1251246,251552
,200411,NOVIEMBRE,2121089,51733,295011,231153,1288797,254396
,200412,DICIEMBRE,2112714,50292,303582,252699,1264785,241357
,,,,,,,,
2005,200501,ENERO,2176599,55704,311643,257056,1333246,218950
,200502,FEBRERO,2165420,54083,309165,247611,1333490,221071
,200503,MARZO,2144835,56453,310497,247405,1308167,222313
,200504,ABRIL,2095945,55417,304003,236261,1276372,223892
